EHRProductVersion,AttestationID,ProviderID,ProductClassification,PaymentYear,ProviderType,ProgramYear,Specialty,ProductSetting,ProgramType,BusinessState/Territory,VendorName,EHRProductName,AttestationYear,AttestationMonth
11.2,158113,1,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,PA,Allscripts,Allscripts Enterprise EHR,2012,11
2011,152211,2,Complete EHR,1,EP,2012,CHIROPRACTIC,Ambulatory,Medicare,VA,"MPN Software Systems, Inc.",ECLIPSE,2012,9
9.5,79097,3,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,IN,GE Healthcare,Centricity Practice Solution,2012,9
6.1.1,170314,4,Complete EHR,1,EP,2011,FAMILY PRACTICE,Ambulatory,Medicare,MI,"AmazingCharts.com, Inc.",Amazing Charts,2012,2
2010,55557,5,Complete EHR,1,EP,2012,ENDOCRINOLOGY,Ambulatory,Medicare,CA,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,11
2,136980,6,Complete EHR,1,EP,2011,PHYSICAL MEDICINE AND REHABILITATION,Ambulatory,Medicare,IA,Practice Fusion,Practice Fusion,2012,1
5.6 SP1,27926,7,Complete EHR,1,EP,2011,FAMILY PRACTICE,Ambulatory,Medicare,FL,NextGen Healthcare,NextGen Ambulatory EHR,2012,1
2011,22022,8,Complete EHR,1,EP,2012,PULMONARY DISEASE,Ambulatory,Medicare,CO,"Greenway Medical Technologies, Inc.",PrimeSuite,2013,1
9,116692,9,Complete EHR,1,EP,2012,OTOLARYNGOLOGY,Ambulatory,Medicare,CA,"AllMeds, Inc.",AllMeds EHR,2012,6
2011,115835,10,Complete EHR,1,EP,2011,FAMILY PRACTICE,Ambulatory,Medicare,FL,"SOAPware, Inc.",SOAPware,2011,11
2010,53458,11,Complete EHR,1,EP,2012,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,ND,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,10
7.2,150991,12,Complete EHR,2,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,AZ,"e-MDs, Inc.",e-MDs Solution Series,2013,1
7.2,149823,12,Complete EHR,1,EP,2011,FAMILY PRACTICE,Ambulatory,Medicare,AZ,"e-MDs, Inc.",e-MDs Solution Series,2012,2
5.6 SP1,35677,13,Complete EHR,2,EP,2012,CARDIOVASCULAR DISEASE (CARDIOLOGY),Ambulatory,Medicare,IL,NextGen Healthcare,NextGen Ambulatory EHR,2013,1
5.6 SP1,27143,13,Complete EHR,1,EP,2011,CARDIOVASCULAR DISEASE (CARDIOLOGY),Ambulatory,Medicare,IL,NextGen Healthcare,NextGen Ambulatory EHR,2011,12
Summer 2009,100902,14,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,TX,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2013,1
12.1,190550,15,Complete EHR,1,EP,2012,ANESTHESIOLOGY,Ambulatory,Medicare,TX,Allscripts,Allscripts Professional EHR,2013,1
9.5,78941,16,Complete EHR,1,EP,2012,CARDIOVASCULAR DISEASE (CARDIOLOGY),Ambulatory,Medicare,AL,GE Healthcare,Centricity Practice Solution,2012,4
2011,20589,17,Complete EHR,1,EP,2012,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,GA,"Greenway Medical Technologies, Inc.",PrimeSuite,2012,6
2010,56600,18,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,WI,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,12
Summer 2009,98580,19,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,PA,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,11
11.2,25482,20,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,FL,Allscripts,Allscripts Enterprise EHR,2012,12
9.2.2,145054,21,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,MI,Allscripts,Allscripts Professional EHR,2012,5
9,7285,22,Complete EHR,1,EP,2011,OTOLARYNGOLOGY,Ambulatory,Medicare,TX,eClinicalWorks LLC,eClinicalWorks,2012,1
4,108672,23,Complete EHR,1,EP,2012,UROLOGY,Ambulatory,Medicare,TX,Intuitive Medical Software,UroChartEHR,2013,1
5.6 SP1,27579,24,Complete EHR,1,EP,2011,INTERNAL MEDICINE,Ambulatory,Medicare,CA,NextGen Healthcare,NextGen Ambulatory EHR,2011,12
5.6 SP1,36113,24,Complete EHR,2,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,CA,NextGen Healthcare,NextGen Ambulatory EHR,2013,1
9,192842,25,Complete EHR,1,EP,2012,DERMATOLOGY,Ambulatory,Medicare,KS,eClinicalWorks LLC,eClinicalWorks,2013,1
7.2,150302,26,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,KS,"e-MDs, Inc.",e-MDs Solution Series,2012,10
2012,191516,27,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,MA,Massachusetts General Hospital,Oncall,2013,1
Summer 2009,87323,28,Complete EHR,1,EP,2011,ENDOCRINOLOGY,Ambulatory,Medicare,IL,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2011,6
2010,59859,28,Complete EHR,2,EP,2012,ENDOCRINOLOGY,Ambulatory,Medicare,IL,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2013,1
5.6 SP1,29827,29,Complete EHR,1,EP,2012,UROLOGY,Ambulatory,Medicare,WI,NextGen Healthcare,NextGen Ambulatory EHR,2012,5
9.5,41107,30,Complete EHR,1,EP,2011,FAMILY PRACTICE,Ambulatory,Medicare,ID,GE Healthcare,Centricity EMR,2012,2
Spring 2008,80270,31,Complete EHR,1,EP,2011,FAMILY PRACTICE,Ambulatory,Medicare,KY,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,1
v10.1,171235,32,Complete EHR,1,EP,2012,OTOLARYNGOLOGY,Ambulatory,Medicare,PA,Allscripts,Allscripts MyWay EHR,2012,12
5.6 SP1,35343,33,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,NC,NextGen Healthcare,NextGen Ambulatory EHR,2013,1
7.6,80929,34,Complete EHR,1,EP,2011,OPHTHALMOLOGY,Ambulatory,Medicare,SC,Medflow,Medflow E HR,2011,12
9.3,172414,35,Complete EHR,1,EP,2012,DERMATOLOGY,Ambulatory,Medicare,AL,Allscripts,Allscripts Professional EHR,2012,7
2011,18570,36,Complete EHR,1,EP,2011,FAMILY PRACTICE,Ambulatory,Medicare,MN,"Greenway Medical Technologies, Inc.",PrimeSuite,2011,9
11.2,134383,37,Complete EHR,1,EP,2012,NEPHROLOGY,Ambulatory,Medicare,NY,Allscripts,Allscripts Enterprise EHR,2012,9
4.1,142631,38,Complete EHR,1,EP,2012,OPHTHALMOLOGY,Ambulatory,Medicare,TX,OEMR,OpenEMR,2012,8
1.2,169124,39,Modular EHR,1,EP,2011,FAMILY PRACTICE,Ambulatory,Medicare,CT,Jardogs,Follow My Health,2012,2
1.2,169553,39,Modular EHR,2,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,CT,Jardogs,Follow My Health,2013,1
11.2,169553,39,Modular EHR,2,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,CT,Allscripts,Allscripts Enterprise EHR,2013,1
11.2,169124,39,Modular EHR,1,EP,2011,FAMILY PRACTICE,Ambulatory,Medicare,CT,Allscripts,Allscripts Enterprise EHR,2012,2
10.6,178618,40,Complete EHR,1,EP,2012,OPTOMETRY,Ambulatory,Medicare,KS,Eyefinity/OfficeMate,OfficeMate/ExamWRITER,2013,1
12.5,178807,41,Complete EHR,1,EP,2012,ORTHOPEDIC SURGERY,Ambulatory,Medicare,TX,"athenahealth, Inc",athenaClinicals,2012,5
5.6 SP1,31412,42,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,CA,NextGen Healthcare,NextGen Ambulatory EHR,2012,8
